Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
263;Kronospan Orman Ürünleri San. ve Tic. A.Ş.;2021;1.842.063.008,00;1.917.176.167,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16        ;Ağaç ve Mantar Ürünleri Sanayi;331       ;www.kronospan.com.tr;İstanbul;Ataşehir;Barbaros Mah. Begonya Sok. Nidakule Ataşehir Kuzey Sitesi No.3/140
264;Abdioğulları Plastik ve Ambalaj Sanayi A.Ş.;2021;1.840.662.828,00;2.784.914.829,00;;;;;;103.162,00;1465;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.abco.com.tr;Adana;Sarıçam;Adana Hacı Sabancı Organize Sanayi Bölgesi Sabancı Cad. No.8
265;Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.;2021;1.836.768.427,00;2.037.313.971,00;;;;;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.yigitaku.com;Ankara;Sincan;Organize Sanayi Bölgesi Oğuz Cad. No.2
266;Aynes Gıda San. ve Tic. A.Ş.;2021;1.831.888.451,00;1.868.307.292,00;;;;;;20.470,00;1057;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.aynes.com.tr;Denizli;Acıpayam;Akalan Mah. Aligöz Küme Evleri No.45
267;Boyçelik Metal San. ve Tic. A.Ş.;2021;1.827.487.010,00;1.849.575.945,00;;831.262.834,00;962.843.332,00;;;55.664,00;565;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.boycelik.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 37. Cad. No.4
268;Nuh Çimento Sanayi A.Ş.;2021;1.824.983.512,00;1.935.160.451,00;620.327.734,00;2.110.784.496,00;3.092.448.459,00;489.655.942,00;524.317.002,00;168.203,00;690;Kocaeli Sanayi Odası;0,00;60,45;0,00;39,55;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.nuhcimento.com.tr;Kocaeli;Körfez;Hacı Akif Mah. D100 Karayolu Cad. No.92 Hereke
269;Türk Demir Döküm Fabrikaları A.Ş.;2021;1.819.958.097,00;2.940.403.768,00;;;1.522.140.079,00;;;121.318,00;1095;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.demirdokum.com.tr;İstanbul;Ataşehir;Atatürk Mah. Meriç Cad. No.144
270;Klimasan Klima San. ve Tic. A.Ş.;2021;1.813.828.656,00;1.813.952.193,00;484.970.792,00;502.669.702,00;2.853.482.394,00;151.953.208,00;289.623.623,00;81.308,00;1840;Manisa Ticaret ve Sanayi Odası;0,00;61,01;0,00;38,99;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.klimasan.com.tr;Manisa;Yunusemre;Manisa Organize Sanayi Bölgesi 1.Kısım Keçiliköyosb Mah. Cumhuriyet Cad. No.1
271;Dioki Petrokimya Sanayi A.Ş.;2021;1.807.341.787,00;1.860.930.817,00;;;;;;;;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.dioki.com.tr;Adana;Ceyhan;AdanaYumurtalık Serbest Bölgesi  Sarımazı Sb Mah. 3 .Cad. No.2/1
272;ÇİMTAŞ Çelik İmalat Montaj ve Tesisat A.Ş.;2021;1.806.022.773,00;1.853.277.454,00;855.682.659,00;1.394.047.097,00;1.895.619.547,00;885.958.511,00;697.428.276,00;65.452,00;816;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.cimtas.com.tr;İstanbul;Beşiktaş;Balmumcu Mah. Zincirlikuyu Yolu No.10
273;Yayla Agro Gıda San. ve Tic. A.Ş.;2021;1.796.745.579,00;4.484.713.799,00;;;;;;80.665,00;532;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yaylabakliyat.com.tr;Ankara;Kahramankazan;Saray Mah. Fatih Sultan Mehmet Bulvarı No.327
274;Sampa Otomotiv San. ve Tic. A.Ş.;2021;1.796.296.169,00;2.088.716.475,00;;;;;;183.329,00;;Samsun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.sampa.com;Samsun;Tekkeköy;Şabanoğlu OSB Mah. Organize Sanayi Bulvarı No.31
275;Sofra Yemek Üretim ve Hizmet A.Ş.;2021;1.786.107.413,00;1.824.985.294,00;759.271.898,00;766.875.550,00;1.301.877.784,00;97.111.105,00;157.097.710,00;;11441;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.sofragrup.com;İstanbul;Üsküdar;Ünalan Mah. Libadiye Cad. Emaar Square F Blok No.82 F İç Kapı No.77
276;Kartal Halı Tekstil San. ve Tic. A.Ş.;2021;1.766.131.453,00;1.833.188.745,00;;;;;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sanathali.com;Gaziantep;Şehitkamil;4 .Organize Sanayi Bölgesi 83407 Nolu Cad. No.6 
277;Lila Kağıt San. ve Tic. A.Ş.;2021;1.765.722.761,00;1.992.187.105,00;;;;;;112.570,00;1052;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.lilakagit.com;İstanbul;Kadıköy;Merdivenköy Mah. Nur Sok. Business İstanbul A Blok Kat 1617
278;Ateş Çelik İnşaat Taahhüt Proje Mühendislik San. ve Tic. A.Ş.;2021;1.760.084.899,00;1.786.685.436,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.atescelik.com;İzmir;Bergama;Zeytindağı Mah. 2208 Sokak No.1
279;Nev Saç Metal Sanayi İnşaat Nakliye ve Tic. Ltd. Şti.;2021;1.759.643.726,00;1.763.120.500,00;;;;;;;;Nevşehir Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.nevsac.com;Nevşehir;Merkez;Özel Organize Sanayi Bölgesi Aksaray Yolu 10. Km 
280;Aydın Kuruyemiş San. ve Tic. A.Ş.;2021;1.757.126.012,00;1.944.556.906,00;;;;;;129.182,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.aydinkuruyemis.com.tr;İstanbul;Sultangazi;Cebeci Mah. Atatürk Bulvarı 2488 Sok. No.36
281;Teknorot Otomotiv Ürünleri San. ve Tic. A.Ş.;2021;1.756.785.182,00;2.027.421.755,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.teknorot.com;İstanbul;Sarıyer;Huzur Mah. Cendere Cad. No.114 B Skyland İstanbul B Ofis Blok 5.Kat Ofis No.85
282;Şık Makas Giyim San. ve Tic. A.Ş.;2021;1.753.849.575,00;1.905.266.076,00;658.147.074,00;249.465.603,00;1.619.970.076,00;2.519.179,00;295.627.241,00;181.605,00;5282;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.crossjeans.com;İstanbul;Bağcılar;15 Temmuz Mah. 1507 Sok. No.5 
283;BASF Türk Kimya San. ve Tic. Ltd. Şti.;2021;1.751.025.760,00;7.872.255.342,00;941.724.323,00;552.233.263,00;4.049.801.460,00;222.591.657,00;909.833.486,00;54.022,00;559;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.basf.com.tr;İstanbul;Ataşehir;Barbaros Mah. Begonya Sok. Nidakule Ataşehir Kuzey C Kapısı No:3 E/522 
284;BAGFAŞ Bandırma Gübre Fabrikaları A.Ş.;2021;1.738.825.773,00;1.738.825.773,00;;;;;;;;İstanbul Sanayi Odası;0,00;43,89;0,00;56,11;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.bagfas.com.tr;İstanbul;Beyoğlu;Kılıçali Paşa Mah. Susam Sok. No.22 Cihangir
285;Bellona Mobilya San. ve Tic. A.Ş.;2021;1.734.497.504,00;2.600.469.613,00;;1.658.518.057,00;2.268.907.313,00;;;27.035,00;2688;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Mobilya imalatı;31        ;Ağaç, Mobilya ve Mefruşat Sanayi;332       ;www.bellona.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 14. Cad. No.14
287;Elif Plastik Ambalaj San. ve Tic. A.Ş.;2021;1.718.054.639,00;1.802.806.505,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.elifplastik.com.tr;İstanbul;Esenyurt;Orhangazi Mah. 1652. Sok. No.2
288;Hugo Boss Tekstil Sanayi Ltd. Şti.;2021;1.704.718.345,00;1.704.718.345,00;;;;;;185.002,00;3443;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.hugoboss.com.tr;İzmir;Gaziemir;Zafer Sb Mah. Boss Sok. No.10 Ege Serbest Bölgesi
289;Arslantürk Tarım Ürünleri San. İhr. ve İth. A.Ş.;2021;1.704.348.752,00;1.709.590.900,00;170.396.953,00;54.465.815,00;1.062.072.751,00;18.376.714,00;166.373.896,00;76.409,00;282;Trabzon Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.arslanturk.com.tr;Trabzon;Araklı;Özgen Mah. Bayburt Cad. No.194 Ova Mevki
290;Assan Hanil Otomotiv San. ve Tic. A.Ş.;2021;1.691.576.230,00;1.999.822.124,00;;;;;;1.887,00;1277;Kocaeli Sanayi Odası;0,00;60,00;40,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.assanhanil.com.tr;Kocaeli;İzmit;Atatürk (OSB) Mah. Vatan Cad. No.1/1
291;ÇEMTAŞ Çelik Makina San. ve Tic. A.Ş.;2021;1.691.521.200,00;1.742.303.826,00;725.417.635,00;1.102.738.015,00;1.300.483.954,00;517.583.770,00;577.226.179,00;57.883,00;469;Bursa Ticaret ve Sanayi Odası;0,00;57,73;0,00;42,27;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.cemtas.com.tr;Bursa;Nilüfer;Organize Sanayi Bölgesi Ali Osman Sönmez Bulvarı No.3 
292;Küçükçalık Tekstil San. ve Tic. A.Ş.;2021;1.691.139.644,00;2.091.154.110,00;;186.598.328,00;2.386.910.585,00;;753.784.602,00;79.428,00;2121;İnegöl Ticaret ve Sanayi Odası;0,00;96,54;3,46;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.kucukcalik.com;Bursa;İnegöl;Organize Sanayi Bölgesi 1. Cad. Sonu 
293;Durmazlar Makina San. ve Tic. A.Ş.;2021;1.684.837.346,00;1.873.123.294,00;;1.191.710.098,00;2.430.082.776,00;;;126.078,00;;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.durmazlar.com.tr;Bursa;Nilüfer;Işıktepe OSB Mah. 75. Yıl Bulvarı No.4
294;Kansai Altan Boya San. ve Tic. A.Ş.;2021;1.683.290.451,00;1.689.883.112,00;;;862.871.371,00;;;10.213,00;932;Ege Bölgesi Sanayi Odası;0,00;49,00;51,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.kansaialtan.com.tr;İzmir;Kemalpaşa;Kemalpaşa OSB Mah. İzmirAnkara Yolu (Ansızca) Küme Evleri No.286
295;Pamukkale Kablo San. ve Tic. A.Ş.;2021;1.681.173.944,00;1.685.944.342,00;;;;;;;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.pamukkalekablo.com.tr;Denizli;Merkezefendi;Hacıeyüplü Mah. Menderes Bulvarı No.5
296;Zorlu Doğal Elektrik Üretimi A.Ş.;2021;1.678.684.931,00;1.766.191.602,00;1.718.718.801,00;3.207.071.237,00;7.171.756.764,00;2.349.888.944,00;1.241.415.795,00;;225;Aydın Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.zorludogalelektrik.com.tr;İstanbul;Şişli;Levent 199 Büyükdere Cad. No.199
297;Düzce Cam San. ve Tic. A.Ş.;2021;1.676.948.418,00;1.703.698.428,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Cam ve Camdan Mamul Eşya Sanayi;362       ;www.duzcecam.com.tr;İstanbul;Kağıthane;Çağlayan Mah. Şair Sok. No.4/4D
298;Güney Çelik Hasır ve Demir Mamülleri San. Tic. A.Ş.;2021;1.676.935.296,00;1.687.304.329,00;;;;;;;;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.guneycelik.com.tr;İstanbul;Kadıköy;Sahrayıcedit Mah. Atatürk Cad. No.69 
299;Çelikler Seyitömer Elektrik Üretim A.Ş.;2021;1.671.960.735,00;1.733.704.322,00;167.307.550,00;4.560.342.771,00;21.579.435.402,00;6.605.461.920,00;1.423.385.662,00;;1032;Kütahya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.celiklerholding.com;Ankara;Çankaya;Nenehatun Cad. No.104 Gaziosmanpaşa
300;Bayer Türk Kimya Sanayii Ltd. Şti.;2021;1.669.693.969,00;3.336.837.534,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.bayer.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. No.53 
301;Termo Teknik Tic. ve San. A.Ş.;2021;1.669.542.505,00;1.723.184.987,00;;;;;;;768;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.termoteknik.com;İstanbul;Sarıyer;Reşitpaşa Mah. Eski Büyükdere Cad. Park Plaza No.14 Kat.7 Maslak
302;Sanko Enerji San. ve Tic. A.Ş.;2021;1.667.470.626,00;1.857.088.747,00;;;;;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.sankoenerji.com.tr;Gaziantep;Şehitkamil;Burak Mah. Sani Konukoğlu Bulvarı No.221 
303;Ağır Haddecilik A.Ş.;2021;1.654.275.471,00;2.340.702.757,00;;;1.203.186.670,00;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.agirhaddecilik.com;İstanbul;Ataşehir;Barbaros Mah. Zaloğlu Sok. Ceylan Han No.1
304;Sersim Dayanıklı Tüketim Malları San. ve Tic. Koll. Şti. İbrahim ve Mustafa Ustaoğlu;2021;1.652.971.164,00;1.676.775.076,00;;;;;;;;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.simfer.com.tr;Kayseri;Melikgazi;Anbar SB. Mah. Kayseri Serbest Bölgesi 12. Cad. No.17
306;Dünya Uluslararası Mücevherat ve Kuyumculuk San. ve Tic. A.Ş.;2021;1.637.629.398,00;1.796.011.887,00;;;1.448.314.378,00;;286.453.517,00;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1      ;"Diğer İmalat Sanayi
";390       ;www.gulaylar.com;İstanbul;Fatih;Nuruosmaniye Cad. No.63 B1 Katı Cağaloğlu 
307;Same Deutz Fahr Traktör San. ve Tic. A.Ş.;2021;1.637.421.008,00;1.890.094.667,00;;;;;;;;Balıkesir Sanayi Odası;0,00;0,00;100,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.sdfgroup.com.tr;İstanbul;Maltepe;Gold Plaza Altayçeşme Mah. Öz Sok. No.19 Kat.4 No.23/24
308;Vatan Plastik San. ve Tic. A.Ş.;2021;1.629.237.431,00;1.644.460.339,00;;;;;;73.636,00;522;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.vatanplastik.com;İstanbul;Kartal;Orta Mah. Soğanlık D100 Kuzey Yanyol Cad. No.8
309;HT Solar Enerji A.Ş.;2021;1.628.429.398,00;2.401.722.465,00;;;1.066.039.654,00;;;101.464,00;416;İstanbul Sanayi Odası;0,00;15,00;85,00;0,00;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.htsolar.com.tr;İstanbul;Tuzla;İstanbul Endüstri Ve Ticaret Serbest Bölgesi Aydınlı Sb Mah. 1. Sok. No.1
310;Menderes Tekstil San. ve Tic. A.Ş.;2021;1.621.796.138,00;2.232.007.624,00;;;2.282.756.216,00;;;132.336,00;3577;Denizli Sanayi Odası;0,00;48,07;0,00;51,93;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.menderes.com;Denizli;Sarayköy;Cumhuriyet Mah. Yeni Sığma Asfatlı /15 Sk. No.1/12 
311;Nobel İlaç San. ve Tic. A.Ş.;2021;1.603.256.917,00;1.674.125.673,00;767.851.121,00;867.112.649,00;2.473.122.896,00;236.312.545,00;490.881.660,00;91.837,00;1572;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.nobel.com.tr;İstanbul;Ümraniye;Saray Mah. Dr. Adnan Büyükdeniz Cad. No.14
312;Sun Tekstil San. ve Tic. A.Ş.;2021;1.594.672.986,00;1.645.033.534,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.suntekstil.com.tr;İzmir;Torbalı;7 Eylül Mah. Celal Umur Cad. No.6/A
313;Yeni Elektrik Üretim A.Ş.;2021;1.593.870.221,00;1.673.009.768,00;199.405.300,00;1.033.974.672,00;4.264.922.131,00;762.515.580,00;175.122.935,00;;9;Kocaeli Sanayi Odası;0,00;0,00;100,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.yenielektrik.com.tr;Kocaeli;Dilovası;Çerkeşli Köyü Mevkii Çerkeşli OSB Mah. İmes 13. Cad. No.1
314;Et ve Süt Kurumu Genel Müdürlüğü;2021;1.591.778.458,00;1.776.389.520,00;;;;;;;;Kamu;100,00;0,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.esk.gov.tr;Ankara;Çankaya;İşçi Blokları Mah. Muhsin Yazıcıoğlu Cad. No.51/B Yüzüncüyıl
315;CMS Jant Sanayi A.Ş.;2021;1.588.956.904,00;1.803.564.970,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.cmsjant.com.tr;İzmir;Gaziemir;Erkut Sok. No.11 Ege Serbest Bölgesi
316;Dinarsu İmalat ve Ticaret T.A.Ş.;2021;1.587.120.977,00;2.205.813.950,00;471.817.812,00;22.194.235,00;2.770.153.011,00;124.597.845,00;318.066.046,00;114.290,00;1731;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.dinarsuhali.com.tr;İstanbul;Bahçelievler;Merkez Mah. 29 Ekim Cad. No.21 Yenibosna
317;Turkuaz Polyester Reçine Kimya San. Tic. Ltd. Şti.;2021;1.586.654.838,00;1.619.580.517,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.turkuazpolyester.com.tr;Kocaeli;Dilovası;Gebkim OSB Recep Yazıcı Cad. No.8
318;Form Sünger ve Yatak San. Tic. A.Ş.;2021;1.561.461.213,00;1.594.653.669,00;;606.494.707,00;866.590.946,00;;;45.306,00;523;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.formsunger.com.tr;Kayseri;Melikgazi;1. Organize Sanayi Bölgesi 8. Cad. No.60 
319;Yonca Gıda Sanayi İşletmeleri İç ve Dış Ticaret A.Ş.;2021;1.551.249.614,00;1.675.491.016,00;;;;;;120.962,00;994;Manisa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yoncagida.com.tr;İzmir;Konak;Alsancak Mah. 1476/1 Sok. No.7
320;KÇS Kahramanmaraş Çimento Beton Sanayi ve Madencilik İşletmeleri A.Ş.;2021;1.532.049.158,00;1.535.057.630,00;;981.228.475,00;3.774.854.896,00;;;31.516,00;1275;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.kcskipascimento.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A
321;Jantsa Jant San. ve Tic. A.Ş.;2021;1.529.763.045,00;1.542.100.988,00;583.257.057,00;682.525.857,00;1.076.249.989,00;407.069.470,00;448.078.512,00;114.012,00;1376;Aydın Sanayi Odası;0,00;79,06;0,00;20,94;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.jantsa.com.tr;Aydın;Efeler;Umurlu Mah. Organize Sanayi Bölgesi Cad. No.5958/1
322;ADM Besin ve Tarım A.Ş.;2021;1.528.814.236,00;3.714.763.301,00;;;;;;;;Adana Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.amylum.com;Adana;Sarıçam;Hacı Sabancı Organize Sanayi Bölgesi 5 Ocak Cad. No.2
323;Akyem Adana Yem Yağ Biodizel Tarım ve San. Tic. A.Ş.;2021;1.525.559.108,00;1.525.559.108,00;138.470.111,00;151.580.886,00;546.926.735,00;1.580.886,00;12.390.213,00;66.769,00;2268;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.beyzapilic.com.tr;Adana;Seyhan;Zeytinli Mah. Turhan Cemal Beriker Bulvarı No.830/A
324;Eksun Gıda Tarım San. ve Tic. A.Ş.;2021;1.520.399.821,00;1.549.398.092,00;;;;;;;;Tekirdağ Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.eksun.com.tr;İstanbul;Üsküdar;Fahrettin Kerim Gökay Cad. No.36 Altunizade
326;Ofis Yem Gıda San. Tic. A.Ş.;2021;1.497.394.480,00;3.112.465.735,00;;;;;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.ofisyem.com.tr;Ankara;Çubuk;Ankara Yolu 6. Km 
327;CFN Kimya San. ve Dış Tic. A.Ş.;2021;1.490.464.948,00;1.509.618.740,00;;;;;;113.233,00;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.cfnkimya.com;Kocaeli;Dilovası;Demirciler OSB Mah. Murat Yıldıran Cad. No.3/3
328;Teknopanel Çatı ve Cephe Panelleri Üretim San. ve Tic. A.Ş.;2021;1.485.730.163,00;1.511.990.799,00;;;;;;;;Mersin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.teknopanel.com.tr;Mersin;Akdeniz;Tarsus Mersin Organize Sanayi Bölgesi 7. Cad. No.10
329;Alp Havacılık San. ve Tic. A.Ş.;2021;1.478.207.210,00;1.478.207.210,00;568.661.503,00;960.903.613,00;3.056.164.458,00;547.647.872,00;785.260.526,00;128.999,00;1256;Eskişehir Sanayi Odası;0,00;50,00;50,00;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.alp.com.tr;Eskişehir;Odunpazarı;Organize Sanayi Bölgesi 8.Cadde
